t,V,x
0.0,3.0,0.0
0.01,3.0,0.03
0.02,2.994,0.06
0.03,2.982,0.08993999999999999
0.04,2.9640120000000003,0.11975999999999999
0.05,2.9400600000000003,0.14940012
0.060000000000000005,2.9101799760000002,0.17880072
0.07,2.874419832,0.20790251976
0.08,2.832839328048,0.23664671807999998
0.09,2.785509984432,0.26497511136047996
0.09999999999999999,2.7325149621599043,0.29283021120479996
0.10999999999999999,2.6739489199189443,0.320155360826399
0.11999999999999998,2.6099178477536644,0.34689485002558845
0.12999999999999998,2.540538877748547,0.3729940285031251
0.13999999999999999,2.465940072047922,0.39839941728061057
0.15,2.3862601885918,0.4230588180010898
0.16,2.301648424991582,0.4469214198870078
0.17,2.2122641410141806,0.4699379041369236
0.18000000000000002,2.118276560186796,0.4920605455470654
0.19000000000000003,2.0198644510773827,0.5132433111489334
0.20000000000000004,1.917215788847596,0.5334419556597072
0.21000000000000005,1.8105273977156546,0.5526141135481831
0.22000000000000006,1.700004575006018,0.5707193875253397
0.23000000000000007,1.5858606975009502,0.5877194332753999
0.24000000000000007,1.4683168108458702,0.6035780402504094
0.25000000000000006,1.3476012027957882,0.6182612083588681
0.26000000000000006,1.2239489611240146,0.631737220386826
0.2700000000000001,1.0976015170466495,0.6439767099980661
0.2800000000000001,0.9688061750470363,0.6549527251685326
0.2900000000000001,0.8378156300133297,0.664640786919003
0.3000000000000001,0.7048874726295291,0.6730189432191362
0.3100000000000001,0.5702836839857018,0.6800678179454316
0.3200000000000001,0.4342701203966155,0.6857706547852886
0.3300000000000001,0.29711598943955775,0.6901133559892548
0.34000000000000014,0.15909331824170678,0.6930845158836504
0.35000000000000014,0.02047641506497669,0.6946754490660675
0.36000000000000015,-0.11845867474823682,0.6948802132167172
0.37000000000000016,-0.2574347173915803,0.6936956264692349
0.38000000000000017,-0.39617384268542727,0.6911212792953191
0.3900000000000002,-0.534398098544491,0.6871595408684648
0.4000000000000002,-0.671830006718184,0.6818155598830199
0.4100000000000002,-0.808193118694788,0.675097259815838
